GroupID,Segment,Person.1,Person.2,LSM,WC.Person.1,WC.Person.2,ppron.Person.1,ppron.Person.2,ipron.Person.1,ipron.Person.2,article.Person.1,article.Person.2,prep.Person.1,prep.Person.2,negate.Person.1,negate.Person.2,adverb.Person.1,adverb.Person.2,auxverb.Person.1,auxverb.Person.2,conj.Person.1,conj.Person.2
gpt-4o_prompt0_debate1_1,1,human,agent,0.56,13,277,0,1.81,0,2.89,7.69,4.33,7.69,9.03,0,0,0,4.69,7.69,6.5,7.69,8.3
gpt-4o_prompt0_debate1_2,1,human,agent,0.42,20,224,20,2.68,0,4.46,5,5.36,20,10.27,5,0,5,3.57,10,4.46,0,6.25
gpt-4o_prompt0_debate1_3,1,human,agent,0.39,20,246,20,1.22,0,4.88,5,5.28,20,10.16,5,0,5,3.25,10,4.07,0,8.13
gpt-4o_prompt0_debate1_4,1,human,agent,0.40,20,242,20,2.07,0,4.13,5,5.37,20,10.33,5,0,5,3.31,10,3.72,0,7.85
gpt-4o_prompt0_debate1_5,1,human,agent,0.40,20,261,20,1.15,0,5.36,5,5.75,20,10.34,5,0,5,3.45,10,4.98,0,7.28
gpt-4o_prompt1_debate1_1,1,human,agent,0.58,13,298,0,0.34,0,4.03,7.69,5.7,7.69,11.07,0,0,0,4.36,7.69,7.38,7.69,8.39
gpt-4o_prompt1_debate1_2,1,human,agent,0.41,20,208,20,0.96,0,4.33,5,3.85,20,12.5,5,0.48,5,2.88,10,4.81,0,8.65
gpt-4o_prompt1_debate1_3,1,human,agent,0.45,20,220,20,1.82,0,4.55,5,4.55,20,10.91,5,0,5,3.64,10,8.18,0,7.73
gpt-4o_prompt1_debate1_4,1,human,agent,0.40,20,230,20,0.87,0,3.91,5,5.22,20,11.3,5,0,5,3.04,10,5.22,0,7.83
gpt-4o_prompt1_debate1_5,1,human,agent,0.41,20,238,20,1.26,0,4.62,5,4.62,20,12.18,5,0.42,5,2.52,10,4.62,0,7.98
gpt-4o_prompt2_debate1_1,1,human,agent,0.56,13,121,0,1.65,0,4.96,7.69,5.79,7.69,11.57,0,0,0,4.96,7.69,6.61,7.69,9.09
gpt-4o_prompt2_debate1_2,1,human,agent,0.46,20,240,20,2.08,0,7.08,5,5.83,20,9.58,5,0.83,5,3.33,10,6.67,0,6.67
gpt-4o_prompt2_debate1_3,1,human,agent,0.43,20,225,20,2.22,0,4.89,5,4,20,8,5,0.89,5,3.11,10,5.78,0,8.89
gpt-4o_prompt2_debate1_4,1,human,agent,0.43,20,234,20,2.14,0,6.84,5,6.41,20,9.83,5,0.85,5,2.56,10,6.41,0,6.84
