GroupID,Segment,Person.1,Person.2,LSM,WC.Person.1,WC.Person.2
deepseek-r1_prompt0_debate1_1,1,human,agent,0.61,13,288
deepseek-r1_prompt0_debate1_2,1,human,agent,0.38,20,290
deepseek-r1_prompt0_debate1_3,1,human,agent,0.35,20,284
deepseek-r1_prompt0_debate1_4,1,human,agent,0.42,20,322
deepseek-r1_prompt0_debate1_5,1,human,agent,0.40,20,291
deepseek-r1_prompt1_debate1_1,1,human,agent,0.40,13,305
deepseek-r1_prompt1_debate1_2,1,human,agent,0.38,20,298
deepseek-r1_prompt1_debate1_3,1,human,agent,0.34,20,260
deepseek-r1_prompt1_debate1_4,1,human,agent,0.41,20,263
deepseek-r1_prompt1_debate1_5,1,human,agent,0.42,20,289
deepseek-r1_prompt2_debate1_1,1,human,agent,0.37,13,195
deepseek-r1_prompt2_debate1_2,1,human,agent,0.47,20,294
deepseek-r1_prompt2_debate1_3,1,human,agent,0.45,20,294
deepseek-r1_prompt2_debate1_4,1,human,agent,0.44,20,320
deepseek-r1_prompt2_debate1_5,1,human,agent,0.44,20,327
deepseek-r1_prompt3_debate1_1,1,human,agent,0.64,13,273
deepseek-r1_prompt3_debate1_2,1,human,agent,0.37,20,291
deepseek-r1_prompt3_debate1_3,1,human,agent,0.39,20,298
deepseek-r1_prompt3_debate1_4,1,human,agent,0.41,20,271
deepseek-r1_prompt3_debate1_5,1,human,agent,0.44,20,276
deepseek-r1_prompt4_debate1_1,1,human,agent,0.51,13,171
deepseek-r1_prompt4_debate1_2,1,human,agent,0.39,20,283
deepseek-r1_prompt4_debate1_3,1,human,agent,0.36,20,282
deepseek-r1_prompt4_debate1_4,1,human,agent,0.36,20,324
deepseek-r1_prompt4_debate1_5,1,human,agent,0.39,20,293
deepseek-r1_prompt0_debate10_1,1,human,agent,0.32,15,309
deepseek-r1_prompt0_debate10_2,1,human,agent,0.44,20,293
deepseek-r1_prompt0_debate10_3,1,human,agent,0.30,20,314
deepseek-r1_prompt0_debate10_4,1,human,agent,0.41,20,313
deepseek-r1_prompt0_debate10_5,1,human,agent,0.38,20,279
deepseek-r1_prompt1_debate10_1,1,human,agent,0.37,15,304
deepseek-r1_prompt1_debate10_2,1,human,agent,0.37,20,277
deepseek-r1_prompt1_debate10_3,1,human,agent,0.41,20,286
deepseek-r1_prompt1_debate10_4,1,human,agent,0.50,20,251
deepseek-r1_prompt1_debate10_5,1,human,agent,0.52,20,267
deepseek-r1_prompt2_debate10_1,1,human,agent,0.38,15,158
deepseek-r1_prompt2_debate10_2,1,human,agent,0.47,20,278
deepseek-r1_prompt2_debate10_3,1,human,agent,0.48,20,282
