GroupID,Segment,LSM,WC.Total
claude_prompt0_debate1_1,1,0.39,245
claude_prompt0_debate1_2,1,0.35,229
claude_prompt0_debate1_3,1,0.39,242
claude_prompt0_debate1_4,1,0.34,252
claude_prompt0_debate1_5,1,0.33,246
claude_prompt1_debate1_1,1,0.55,217
claude_prompt1_debate1_2,1,0.34,243
claude_prompt1_debate1_3,1,0.34,250
claude_prompt1_debate1_4,1,0.39,257
claude_prompt1_debate1_5,1,0.35,265
claude_prompt2_debate1_1,1,0.39,207
claude_prompt2_debate1_2,1,0.46,245
claude_prompt2_debate1_3,1,0.42,252
claude_prompt2_debate1_4,1,0.42,250
claude_prompt2_debate1_5,1,0.41,256
claude_prompt3_debate1_1,1,0.44,201
claude_prompt3_debate1_2,1,0.31,229
claude_prompt3_debate1_3,1,0.31,229
claude_prompt3_debate1_4,1,0.31,229
claude_prompt3_debate1_5,1,0.31,229
claude_prompt4_debate1_1,1,0.36,181
claude_prompt4_debate1_2,1,0.44,238
claude_prompt4_debate1_3,1,0.36,237
claude_prompt4_debate1_4,1,0.37,250
claude_prompt4_debate1_5,1,0.37,262
claude_prompt1_debate10_1,1,0.51,205
claude_prompt1_debate10_2,1,0.38,236
claude_prompt1_debate10_3,1,0.35,238
claude_prompt1_debate10_4,1,0.36,252
claude_prompt1_debate10_5,1,0.41,251
claude_prompt2_debate10_1,1,0.37,189
claude_prompt2_debate10_2,1,0.43,238
claude_prompt2_debate10_3,1,0.43,248
claude_prompt2_debate10_4,1,0.43,253
claude_prompt2_debate10_5,1,0.44,264
claude_prompt3_debate10_1,1,0.35,199
claude_prompt3_debate10_2,1,0.38,248
claude_prompt3_debate10_3,1,0.35,254
claude_prompt3_debate10_4,1,0.36,265
claude_prompt3_debate10_5,1,0.34,268
claude_prompt4_debate10_1,1,0.40,217
claude_prompt4_debate10_2,1,0.39,244
claude_prompt4_debate10_3,1,0.39,249
claude_prompt4_debate10_4,1,0.43,267
claude_prompt4_debate10_5,1,0.40,271
claude_prompt0_debate100_1,1,0.36,236
claude_prompt0_debate100_2,1,0.43,248
claude_prompt0_debate100_3,1,0.40,257
claude_prompt0_debate100_4,1,0.44,263
claude_prompt0_debate100_5,1,0.40,268
claude_prompt1_debate100_1,1,0.36,224
claude_prompt1_debate100_2,1,0.37,231
claude_prompt1_debate100_3,1,0.37,231
claude_prompt1_debate100_4,1,0.37,231
claude_prompt1_debate100_5,1,0.37,231
claude_prompt2_debate100_1,1,0.34,203
claude_prompt2_debate100_2,1,0.35,245
claude_prompt2_debate100_3,1,0.36,254
claude_prompt2_debate100_4,1,0.44,267
claude_prompt2_debate100_5,1,0.40,273
claude_prompt3_debate100_1,1,0.35,195
claude_prompt3_debate100_2,1,0.40,215
claude_prompt3_debate100_3,1,0.40,215
claude_prompt3_debate100_4,1,0.41,248
claude_prompt3_debate100_5,1,0.38,266
claude_prompt4_debate100_1,1,0.35,195
claude_prompt4_debate100_2,1,0.44,221
claude_prompt4_debate100_3,1,0.37,235
claude_prompt4_debate100_4,1,0.40,252
claude_prompt4_debate100_5,1,0.43,246
claude_prompt1_debate11_1,1,0.34,221
claude_prompt1_debate11_2,1,0.36,226
claude_prompt1_debate11_3,1,0.36,226
claude_prompt1_debate11_4,1,0.36,226
claude_prompt1_debate11_5,1,0.36,226
claude_prompt2_debate11_1,1,0.33,182
claude_prompt2_debate11_2,1,0.44,225
claude_prompt2_debate11_3,1,0.51,245
claude_prompt2_debate11_4,1,0.43,245
claude_prompt2_debate11_5,1,0.43,255
claude_prompt3_debate11_1,1,0.35,197
claude_prompt3_debate11_2,1,0.44,257
claude_prompt3_debate11_3,1,0.39,261
claude_prompt3_debate11_4,1,0.38,259
claude_prompt3_debate11_5,1,0.42,262
claude_prompt4_debate11_1,1,0.45,184
claude_prompt4_debate11_2,1,0.42,234
claude_prompt4_debate11_3,1,0.46,253
claude_prompt4_debate11_4,1,0.42,259
claude_prompt4_debate11_5,1,0.45,262
claude_prompt1_debate12_1,1,0.52,228
claude_prompt1_debate12_2,1,0.47,231
claude_prompt1_debate12_3,1,0.47,231
claude_prompt1_debate12_4,1,0.47,231
claude_prompt1_debate12_5,1,0.47,231
claude_prompt2_debate12_1,1,0.53,188
claude_prompt2_debate12_2,1,0.48,228
claude_prompt2_debate12_3,1,0.48,228
claude_prompt2_debate12_4,1,0.48,228
claude_prompt2_debate12_5,1,0.48,228
claude_prompt3_debate12_1,1,0.47,198
claude_prompt3_debate12_2,1,0.48,237
claude_prompt3_debate12_3,1,0.48,237
claude_prompt3_debate12_4,1,0.48,237
claude_prompt3_debate12_5,1,0.48,237
