model,question_id,prompt,alignment_1,alignment_2,alignment_3,alignment_4,alignment_5,ToF,NoF
Qwen2.5-72B-Instruct,debate1,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate2,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate3,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate4,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate5,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate6,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate7,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate8,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate9,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate10,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate11,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate12,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate13,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate14,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate15,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate16,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate17,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate18,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate19,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate20,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate21,prompt0,0,1,1,1,1,0,1
Qwen2.5-72B-Instruct,debate22,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate23,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate24,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate25,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate26,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate27,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate28,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate29,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate30,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate31,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate32,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate33,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate34,prompt0,1,1,1,1,1,5,0
Qwen2.5-72B-Instruct,debate35,prompt0,1,1,1,1,1,5,0
